wav_filename,wav_filesize,transcript
common_voice_pt_19480608.wav,115244,espero voltar ao local de trabalho
common_voice_pt_19481981.wav,94508,não podemos melhorar
common_voice_pt_19482005.wav,115244,e seus olhos falavam da morte
common_voice_pt_19482015.wav,99884,parece ser uma piada agora
common_voice_pt_19482054.wav,132908,vista para a montanha central de taiwan
common_voice_pt_19482122.wav,92204,então foi o rádio
common_voice_pt_19482149.wav,109868,coloque essa escada aqui em cima
common_voice_pt_19484563.wav,90668,eu acabei de ver o mapa
common_voice_pt_19484685.wav,88364,ligue para o meu irmão
common_voice_pt_19484786.wav,171308,quando ela entrou na pista de dança todos na boate estavam olhando para ela
common_voice_pt_19486085.wav,82988,não me parece
common_voice_pt_19486088.wav,126764,as gotas da balança estão perfurando
common_voice_pt_19486193.wav,106028,é melhor esquecermos isso
common_voice_pt_19486232.wav,122924,ela apoia uma mãe e dois filhos
common_voice_pt_19486361.wav,134444,duas pessoas estão dormindo em um banco do parque
common_voice_pt_19486405.wav,207404,suas mãos estavam desgastadas e esgotadas mas ele ouviu seu coração
common_voice_pt_19493395.wav,232748,parque industrial digital de taipei inaugurado oficialmente no final de junho
common_voice_pt_19493466.wav,167468,um esquiador faz o único caminho em uma montanha vazia
common_voice_pt_19493537.wav,80684,trabalhos derivados
common_voice_pt_19493556.wav,109868,que carga de lixo sarah opinou
common_voice_pt_19493577.wav,94508,então onde está sua arma
common_voice_pt_19493581.wav,134444,mas podemos começar a limpar agora
common_voice_pt_19493633.wav,180524,um garoto grita enquanto duas mulheres conversam umas com as outras
common_voice_pt_19493635.wav,144428,sim de fato eu gostaria de uma limonada
common_voice_pt_19498393.wav,175148,eu nunca vi essa abordagem para essa questão mas pode funcionar
common_voice_pt_19498843.wav,169004,a tropa nova do escuteiro de menino olha sobre quando em seus uniformes
common_voice_pt_19498919.wav,111404,a noite estava quente e eu estava com sede
common_voice_pt_19498941.wav,79148,as estrelas são brancas
common_voice_pt_19501356.wav,98348,então vamos fazer isso primeiro
common_voice_pt_19504889.wav,125228,miguel gostava de brincar com os seus carrinhos
common_voice_pt_19505216.wav,111404,um grupo de mulheres cantando juntas
common_voice_pt_19506224.wav,111404,encontre o poder perdido
common_voice_pt_19506239.wav,152108,jovem mãe e filho indo para algum lugar
common_voice_pt_19506258.wav,188204,a luz refletiu sobre o lugar como uma aura sobrenatural
common_voice_pt_19506315.wav,211244,principalmente apenas os corações daqueles que estão tentando realizar seus destinos
common_voice_pt_19506417.wav,71468,que horas eram
common_voice_pt_19506558.wav,122924,eu quero reservar um bar no novo méxico
common_voice_pt_19506603.wav,134444,um homem e uma mulher a pescar na praia
