wav_filename,wav_filesize,transcript
common_voice_pt_19277041.wav,86828,eu balancei a cabeça
common_voice_pt_19277042.wav,149804,adicione the cranberries zombie a playlist de clássicas
common_voice_pt_19277044.wav,138284,um cinegrafista filmando um jogo de basquete
common_voice_pt_19277047.wav,69164,ajude meu filho
common_voice_pt_19277048.wav,102188,embora o sol seja muito grande
common_voice_pt_19277050.wav,86828,cerca de um em vinte
common_voice_pt_19277051.wav,134444,o facebook tem muitos problemas de privacidade
common_voice_pt_19277055.wav,122924,não pode mudar de carro a cada ano
common_voice_pt_19277065.wav,79148,isso me impressiona
common_voice_pt_19277067.wav,184364,o termo apenas meus dois centavos é sobre a opinião não sobre dinheiro
common_voice_pt_19277068.wav,130604,diga me a previsão do tempo para a frança
common_voice_pt_19277073.wav,157484,o garoto recordou o brilho que havia notado no dia anterior
common_voice_pt_19277075.wav,88364,quanto vale o real no momento
common_voice_pt_19277076.wav,102188,isso não poderia ter esperado até a manhã
common_voice_pt_19277078.wav,145964,a areia flutua sobre as soleiras da velha casa
common_voice_pt_19277083.wav,88364,um cachorro preso dentro
common_voice_pt_19277084.wav,126764,procurando oportunidades futuras em taiwan
common_voice_pt_19277091.wav,148268,pois naquele momento não lhe ocorreu que poderia ser oco
common_voice_pt_19277094.wav,111404,mamãe feliz dia das mães
common_voice_pt_19277095.wav,161324,sempre que podia ele procurava um novo caminho para viajar
common_voice_pt_19277096.wav,176684,ele achou logo depois do amanhecer e não longe dos poços de areia
common_voice_pt_19277097.wav,86828,a vista deveria valer a pena
common_voice_pt_19277098.wav,138284,pegue a partida e bata contra o seu sapato
common_voice_pt_19277102.wav,86828,claro sempre há tudo
common_voice_pt_19277103.wav,115244,o preço unitário será menor e menor
common_voice_pt_19277116.wav,52268,olá
common_voice_pt_19277127.wav,92204,que tal me levar para casa no estilo
common_voice_pt_19277132.wav,161324,não tenho informações sobre tropas ou sobre o movimento das tribos
common_voice_pt_19277137.wav,126764,eu me pergunto o que molly colocou nesses tacos
common_voice_pt_19277140.wav,94508,eu não li o resumo do artigo ainda
common_voice_pt_19277145.wav,79148,feliz em te conhecer
common_voice_pt_19277147.wav,75308,eu gosto dessa piada
common_voice_pt_19277148.wav,63788,no mercado
common_voice_pt_19277153.wav,84524,cortando as coisas
common_voice_pt_19277159.wav,90668,o menino olhou para o horizonte
common_voice_pt_19277167.wav,172844,mas ele havia encontrado um guia e não queria perder uma oportunidade
common_voice_pt_19277168.wav,117548,um tolo e seu dinheiro logo se separaram
common_voice_pt_19277171.wav,86828,embora eu não possa me levantar
common_voice_pt_19277176.wav,194348,uma equipe de ciclistas trabalhando duro no que parece ser uma moto muito veloz
common_voice_pt_19277179.wav,117548,há peixes deformados naquele lago
common_voice_pt_19277182.wav,61484,copo com água
common_voice_pt_19277183.wav,157484,o pinguim atravessa o gelo juntando se aos seus companheiros
common_voice_pt_19277184.wav,80684,o céu já estava escuro
common_voice_pt_19277193.wav,129068,eles cantaram as mesmas músicas em cada festa
common_voice_pt_19277194.wav,82988,está certo quem vence
common_voice_pt_19277195.wav,125228,benjamin estava comendo tiras de bacon
common_voice_pt_19277197.wav,113708,os banhos romanos são soberbos
common_voice_pt_19277198.wav,152108,quatro pessoas estão sentadas em uma rocha em um corpo de água
common_voice_pt_19277199.wav,92204,eu liguei mas ninguém respondeu
common_voice_pt_19277203.wav,103724,o pai estava cansado do trabalho
