wav_filename,wav_filesize,transcript
common_voice_pt_19484624.wav,98348,pedir dinheiro emprestado às pessoas da aldeia
common_voice_pt_19405032.wav,86828,trancá los
common_voice_pt_19665686.wav,221228,menina e menino beijando nas sombras
common_voice_pt_20183194.wav,202796,particularmente meu cuscuz cortado eu gosto de comer bem em vez de grelhado
common_voice_pt_19812269.wav,69164,eu sou o senhor
common_voice_pt_19854926.wav,194348,o mago lançou um feitiço muito poderoso sobre a cidade
common_voice_pt_20143234.wav,220460,planejar e gerenciar os serviços presenciais e virtuais oferecidos pelo serviço
common_voice_pt_19370579.wav,221228,um cão preto e um cão preto e branco estão correndo na sujeira
common_voice_pt_19942727.wav,80684,eu acho que o nome dela é olivia
common_voice_pt_19918682.wav,177452,um skatista masculino mostra seus movimentos perto de um conjunto de escadas
common_voice_pt_19965612.wav,165932,grande grupo de pessoas sentadas na tenda branca
common_voice_pt_19965613.wav,154412,um menino loiro está de pé por uma cerca
common_voice_pt_20114629.wav,161324,uma mulher está em pé na frente de uma mesa de condimentos
common_voice_pt_20114642.wav,96044,quais são os fatos
common_voice_pt_19373774.wav,168236,o cão preto pega um brinquedo na boca enquanto corre no campo
common_voice_pt_19326084.wav,169004,o espelho tinha uma parte de metal
common_voice_pt_19326085.wav,184364,o rumo do páis é incerto
common_voice_pt_19334129.wav,228908,o objetivo da conversa é
common_voice_pt_19334135.wav,145964,estou interessado apenas no presente
common_voice_pt_20104660.wav,101420,como foi a comida lá
common_voice_pt_19994619.wav,209708,homem bonito e bar de vinhos eles estarão prontos em breve
common_voice_pt_19994621.wav,198188,cortar o pano de ouro em fitas finas
common_voice_pt_19468573.wav,199724,eu realmente não sei o que fazer
common_voice_pt_19468575.wav,198956,mas eles realmente não sabem o que estão dizendo
common_voice_pt_20087433.wav,152876,caso contrário não pode ser avaliado pelo tribunal
common_voice_pt_19401483.wav,142124,um cão pequeno joga com uma bola colorida na areia
common_voice_pt_20063977.wav,129836,nunca diga que está chovendo até acabar
common_voice_pt_20063981.wav,156716,dois homens trabalhadores fazendo seu trabalho com seu supervisor
common_voice_pt_19483322.wav,144428,nada é tão elástico quanto a seda de uma aranha
common_voice_pt_20069131.wav,172844,isso deve obviamente ser um desafio para ela
common_voice_pt_20069133.wav,161324,um grupo de estudantes está sentado no campus
common_voice_pt_19453196.wav,152108,o encanador apertou a válvula com vazamento
common_voice_pt_19453199.wav,159788,dois homens na varanda olham para cima e apontam para alguma coisa
common_voice_pt_19453200.wav,92204,vingadores guerra infinita
common_voice_pt_20115857.wav,241964,mantenha nos longe de maio poeira e lama agosto
common_voice_pt_20115858.wav,176684,algumas crianças estão jogando em um forte
common_voice_pt_19813748.wav,165164,uma fileira de mesas e um banco fora de um restaurante
common_voice_pt_19813749.wav,188204,quatro crianças com idade escolar estão jogando queimada no ginásio
common_voice_pt_19813750.wav,119852,isso passou pela minha cabeça
common_voice_pt_19817869.wav,238124,um menino louro novo que escova seus dentes na frente de um espelho
common_voice_pt_19817871.wav,215084,um homem prestes a entrar em um pequeno carro compacto azul
common_voice_pt_19366239.wav,98348,honrar vem com sofrimento
common_voice_pt_19366240.wav,90668,bem vindo senhor
common_voice_pt_19366241.wav,159788,e ele perguntou ao menino se ele também estava em busca do alquimista
common_voice_pt_20069402.wav,225836,um cão marrom muito molhado está emergindo da água
common_voice_pt_20069404.wav,80684,todos riram
common_voice_pt_20069405.wav,274988,um portador trabalha em empunhar uma viga no lugar enquanto outros trabalhadores colocam vigas
common_voice_pt_19542651.wav,182060,e esse é o seu casaco
common_voice_pt_19542652.wav,137516,toque no seu cabelo
common_voice_pt_19542653.wav,178988,meu nome é melchizedek disse o velho
common_voice_pt_19818083.wav,180524,um cão do exército sendo treinado por um soldado
common_voice_pt_19818084.wav,140588,tão feliz quanto o dia é longo
common_voice_pt_19818085.wav,121388,um grupo de aldeões africanos na escola
common_voice_pt_19670184.wav,149036,por que a sarjeta cobre a rodada
common_voice_pt_19670187.wav,254252,uma pessoa flutua na água perto de pedras e uma cachoeira
common_voice_pt_19584434.wav,193580,meu cachorro late quando estranhos chegam
common_voice_pt_19584438.wav,129068,uma mulher cava uma tigela de comida e a come
common_voice_pt_19854690.wav,165164,pessoas andando pela calçada ao lado de uma linha de lojas
common_voice_pt_19854691.wav,122924,papai está com problemas
common_voice_pt_19854692.wav,126764,um garoto com uma bola de basquete
common_voice_pt_19854693.wav,122924,eu gostaria de ver o coração de uma sereia no meu cinema
common_voice_pt_19568137.wav,96044,é bem simples não é
common_voice_pt_19568138.wav,80684,nem isso foi tudo
common_voice_pt_19568139.wav,96044,jovens garotas estão dançando
common_voice_pt_19568140.wav,96044,homem coloca ordem na cafeteria
common_voice_pt_19452402.wav,159020,o desespero é algo que nos assombra à noite
common_voice_pt_19511297.wav,167468,isso cobre o básico
common_voice_pt_19511298.wav,217388,podemos planejar fazer isso na terça feira
common_voice_pt_19511299.wav,188972,ele não fez isso
common_voice_pt_19699503.wav,215084,lugar lindo à noite
common_voice_pt_19699511.wav,212780,uma mulher que está sorrindo está usando um enfeite de cabeça único
common_voice_pt_19324747.wav,129068,foi apenas certo
common_voice_pt_19324749.wav,144428,um ciclista passa por uma rampa de terra e pega um pouco de ar
common_voice_pt_19324750.wav,149804,ouvi dizer que ganhei muito na porta ao lado
common_voice_pt_20069761.wav,107564,eu preciso de horários de filmes
common_voice_pt_20069762.wav,163628,dois homens que jogam o frisbee ao ar livre em um campo
common_voice_pt_20069763.wav,140588,atrás da cruz está o diabo
common_voice_pt_20069765.wav,169004,é um clube privado apenas para as pessoas mais respeitáveis
common_voice_pt_19435015.wav,152108,uma banda se apresenta em um palco
common_voice_pt_19435020.wav,134444,o moço pediu duas águas de coco
common_voice_pt_19435022.wav,121388,ativar legendas
common_voice_pt_19435023.wav,108332,está quente no local atual
common_voice_pt_19702534.wav,209708,mister robinson chegará a tempo
common_voice_pt_19702536.wav,259628,uma criança está desfrutando de uma bebida no supermercado
common_voice_pt_19702537.wav,152108,recite o horário do filme
common_voice_pt_19851685.wav,132908,o que vais fazer comigo
common_voice_pt_19851686.wav,148268,pessoas que trabalham em flores em um carrinho de flor
common_voice_pt_19851687.wav,216620,eu definitivamente estou fora da prática escrevendo coisas também
common_voice_pt_19851689.wav,221996,um grupo de músicos masculinos toca instrumentos incluindo guitarra e bateria
common_voice_pt_19555556.wav,103724,um cachorro corre pela grama
common_voice_pt_19555557.wav,96044,eu queimei a omelete
common_voice_pt_19555558.wav,149804,o cachorro marrom está correndo em direção a um tubo azul e amarelo
common_voice_pt_20059718.wav,219692,dois casais estão sentados em uma mesa de piquenique em um cenário de parque
common_voice_pt_20059719.wav,136748,um jovem rapaz praticando artes marciais
common_voice_pt_20059720.wav,96812,brevemente
common_voice_pt_20059721.wav,200492,north city está servindo a taipei youth career development center
common_voice_pt_19661822.wav,217388,uma mulher em uma camisa azul e calça preta está consertando sua meia branca
common_voice_pt_19661825.wav,138284,uma criança brincando com bolhas e andando
common_voice_pt_19661828.wav,115244,as pessoas estão passeando em um mercado
common_voice_pt_19661831.wav,192044,um homem mais velho em uma jaqueta preta olhando para baixo
common_voice_pt_19315730.wav,274220,dois jogadores de futebol jovens vestindo uniformes azuis e amarelos lutam pela bola
common_voice_pt_19315731.wav,147500,o tráfego era enorme
common_voice_pt_19315733.wav,128300,a bússola apontava como sempre para o norte
common_voice_pt_19401440.wav,96044,recuou para o buraco
common_voice_pt_19401441.wav,142124,um lance forte pode assustar seu parceiro
common_voice_pt_19401442.wav,115244,eu deveria dizer não
common_voice_pt_20068928.wav,233516,uma criança brincando em uma scooter vermelha
common_voice_pt_20068929.wav,221996,precisa encontrar o livro chamado hollywood connection
common_voice_pt_20068930.wav,266540,a menina mais velha está rindo e segurando a menina mais nova fora
common_voice_pt_20068932.wav,178220,uma lista de nomes é esculpida em torno da base
common_voice_pt_19401164.wav,109868,fevereiro não deixa carneiro ou cordeiro
common_voice_pt_19778554.wav,246572,as pessoas ficam do lado de fora vendo motocicletas dirigir por uma estrada
common_voice_pt_20017608.wav,184364,uma criança nova que joga com seus trens do brinquedo
common_voice_pt_20017611.wav,97580,muito dinheiro
common_voice_pt_20017614.wav,131372,eu peguei um número e encontrei meu lugar
common_voice_pt_20017617.wav,138284,correndo cavalo lápide grave
