,wav_filename,wav_filesize,transcript
3835,common_voice_pt_19442263.wav,122924,na minha juventude meu pai era um hooligan
2479,common_voice_pt_19450839.wav,152108,suponho que a hora fosse quatro ou cinco horas
279,common_voice_pt_19284374.wav,73004,abra o netflix
3405,common_voice_pt_19435932.wav,121388,pare até que o extra saia
2354,common_voice_pt_19428356.wav,113708,governo da cidade de taipei
1791,common_voice_pt_19416174.wav,88364,somos feitos um para o outro
2111,common_voice_pt_19422078.wav,76844,quem faria tal proeza
374,common_voice_pt_19290554.wav,109868,o sol está descendo a montanha
4150,common_voice_pt_19570405.wav,140588,minha viagem à bélgica foi um desastre
2948,common_voice_pt_19433265.wav,106028,e me pegue uma caneta
1908,common_voice_pt_19416372.wav,82988,conte me mais sobre isso
3163,common_voice_pt_19435334.wav,103724,estou preparando o trevor
649,common_voice_pt_19307777.wav,136748,auto culpa não pode dar às crianças algo melhor
3648,common_voice_pt_19441434.wav,103724,qual é o seu nome ele perguntou
3632,common_voice_pt_19441403.wav,106028,charles não tem amigos
3723,common_voice_pt_19441862.wav,109868,eles estavam se beijando no quintal
3913,common_voice_pt_19485144.wav,142124,um equestre conduz seu cavalo sobre um portão
1898,common_voice_pt_19416353.wav,122924,precisa comprar alguns artigos de papelaria
2244,common_voice_pt_19428183.wav,126764,ele apareceu com as primeiras estrelas da noite
165,common_voice_pt_19278610.wav,90668,então pare de agir como um
2657,common_voice_pt_19528894.wav,213548,pelo menos doze roteiros foram encontrados neste baú
521,common_voice_pt_19301449.wav,90668,por que eu deveria me privar da minha vida
99,common_voice_pt_19278193.wav,65324,eu queria subir
146,common_voice_pt_19278445.wav,90668,o cachorro e o gato eram bons amigos
120,common_voice_pt_19278268.wav,109868,e ele não estava se saindo muito melhor
4006,common_voice_pt_19530981.wav,136748,uma mulher em uma camisa amarela comendo
987,common_voice_pt_19403767.wav,102188,a cerveja provei realmente bom
2898,common_voice_pt_19433091.wav,180524,esta droga estava pronta para andar
2503,common_voice_pt_19457552.wav,88364,lucy é uma jornalista
3623,common_voice_pt_19441389.wav,152108,para o chamado silencioso dizem sábio
1929,common_voice_pt_19416400.wav,102188,por favor vá para dentro
206,common_voice_pt_19284201.wav,171308,um garoto pulando para tocar um dedo do pé na frente de uma árvore
463,common_voice_pt_19291113.wav,88364,que tal essa verificação
3079,common_voice_pt_19435138.wav,79148,já congelado
2224,common_voice_pt_19422408.wav,90668,o headphone tinha quebrado
2927,common_voice_pt_19433176.wav,121388,dora tem um trampolim em seu jardim
1676,common_voice_pt_19416013.wav,98348,então um homem se aproximou
2034,common_voice_pt_19416626.wav,172844,eles estavam todos furiosos quando a escapada falhou
2187,common_voice_pt_19422269.wav,86828,túnel de tempo paralelo
4157,common_voice_pt_19570459.wav,228908,duas jovens estão vadeando no oceano usando shorts e shorts de suor
3085,common_voice_pt_19435159.wav,205868,eu recomendo mouseless browsing para firefox e vimium para chrome
1803,common_voice_pt_19416193.wav,121388,microsoft visual studio
2229,common_voice_pt_19422590.wav,117548,uma esposa que é outra pessoa
3194,common_voice_pt_19435385.wav,161324,procure a trilha sonora do today com kris aquino
2852,common_voice_pt_19432985.wav,98348,talvez ela conheceu alguém
